StationID, CoordinateX, CoordinateY, 2020-2024, 2025-2029, 2030-2034, 2035-2039, 2040-2044
N2626, -75.9013527316, 40.2980830965, 1, 1, 1, 1, 1
N2627, -80.1680372767, 40.2983115045, 0, 2, 2, 2, 3
N2628, -75.8981847267, 40.3067500816, 1, 1, 1, 1, 1
N2629, -76.8351387348, 40.3083791027, 4, 4, 7, 11, 14
N2630, -103.515108941, 40.3086663794, 0, 0, 0, 0, 0
N2631, -75.9335727462, 40.3245341067, 0, 1, 1, 1, 1
N2632, -79.6872747457, 40.3293603481, 0, 0, 0, 0, 0
N2633, -88.7758457887, 40.343671124, 0, 0, 0, 0, 0
N2634, -87.3491277464, 40.3493200985, 0, 0, 3, 4, 4
N2635, -74.127804544, 40.3564802794, 0, 0, 0, 0, 0
N2636, -74.4695101708, 40.3600061588, 6, 13, 30, 54, 74
N2637, -75.3981921822, 40.3641532232, 2, 3, 5, 5, 6
N2638, -82.8419200265, 40.3648281608, 3, 6, 10, 17, 22
N2639, -75.9912447096, 40.3669240929, 1, 1, 1, 1, 1
N2640, -76.6812098992, 40.3718750037, 0, 0, 0, 0, 0
N2641, -80.6116287159, 40.3743310756, 0, 0, 1, 1, 1
N2642, -111.555495264, 40.3769488555, 1, 1, 1, 1, 1
N2643, -80.5999557154, 40.3845640853, 0, 0, 0, 0, 0
N2644, -89.4554135528, 40.3909872619, 0, 0, 1, 1, 1
N2645, -111.844773794, 40.3978856951, 0, 0, 0, 0, 0
N2646, -75.9383517309, 40.4116090995, 0, 0, 0, 0, 0
N2647, -95.5581830505, 40.4123237709, 2, 4, 5, 7, 7
N2648, -86.8180737183, 40.4146510707, 0, 0, 0, 0, 0
N2649, -88.1214822488, 40.4174098355, 0, 0, 0, 0, 2
N2650, -80.1060897169, 40.4233720942, 0, 0, 0, 0, 0
N2651, -76.521254721, 40.4254690839, 0, 7, 7, 7, 7
N2652, -80.3892541189, 40.4206342297, 0, 1, 1, 1, 1
N2653, -123.983568637, 40.4288690815, 0, 0, 0, 0, 1
N2654, -118.291730344, 40.4307343555, 0, 0, 2, 4, 4
N2655, -79.7500137458, 40.4367010713, 3, 8, 15, 25, 28
N2656, -78.4271127266, 40.4385640763, 0, 0, 0, 0, 0
N2657, -80.0094027161, 40.4397520834, 1, 1, 1, 1, 1
N2658, -79.9961547338, 40.4343430975, 1, 2, 2, 3, 3
N2659, -78.4347087396, 40.4402290946, 0, 1, 2, 2, 2
N2660, -80.0086737211, 40.4459891003, 0, 0, 0, 0, 1
N2661, -89.0218137236, 40.4468170881, 2, 2, 3, 4, 5
N2662, -80.1661647344, 40.4475010864, 0, 0, 0, 0, 0
N2663, -80.025575719, 40.4493550919, 0, 1, 1, 1, 1
N2664, -78.7596087119, 40.4524061049, 0, 0, 2, 2, 2
N2665, -79.9972167072, 40.4541520757, 1, 1, 1, 1, 1
N2666, -78.7636407449, 40.4625940756, 0, 0, 0, 0, 3
N2667, -78.7642257063, 40.463890076, 1, 2, 2, 2, 3
N2668, -80.1986367327, 40.4692001095, 1, 1, 1, 2, 2
N2669, -86.107851376, 40.4713080259, 0, 0, 0, 0, 0
N2670, -74.2958427335, 40.4717020738, 0, 0, 0, 1, 1
N2671, -78.5934571068, 40.4465048174, 0, 0, 0, 0, 0
N2672, -76.2584672056, 40.4832173602, 0, 0, 2, 3, 3
N2673, -104.992130397, 40.4874630326, 0, 0, 0, 0, 0
N2674, -111.412517709, 40.4928250928, 1, 1, 1, 2, 2
N2675, -122.34401419, 40.5166649475, 0, 0, 0, 0, 0
N2676, -80.625030645, 40.5190017333, 0, 0, 0, 0, 0
N2677, -74.3006757144, 40.5190780741, 1, 1, 1, 1, 1
N2678, -80.2723557076, 40.5232990943, 1, 1, 1, 1, 1
N2679, -74.3375037247, 40.5283031065, 0, 0, 0, 0, 0
N2680, -74.2991097321, 40.5318760851, 1, 1, 1, 1, 1
N2681, -89.0244237226, 40.5367451064, 0, 0, 0, 9, 11
N2682, -83.074590824, 40.539308873, 0, 7, 7, 8, 8
N2683, -89.0059017453, 40.5393011092, 3, 8, 10, 10, 10
N2684, -74.3085237103, 40.540912089, 0, 0, 3, 5, 6
N2685, -81.5023063723, 40.5476702631, 0, 0, 0, 0, 0
N2686, -84.1699333022, 40.5555269914, 3, 9, 17, 28, 28
N2687, -75.9981297258, 40.5571390882, 0, 0, 13, 20, 20
N2688, -74.5106469931, 40.5400291283, 1, 1, 1, 1, 1
N2689, -103.211024013, 40.5608310669, 2, 2, 2, 3, 3
N2690, -82.626695734, 40.5667288569, 0, 0, 0, 0, 0
N2691, -93.9453899332, 40.5672382257, 0, 0, 0, 0, 0
N2692, -124.149983709, 40.5743201107, 0, 0, 0, 0, 0
N2693, -75.5588752294, 40.5796481028, 0, 0, 0, 0, 22
N2694, -75.7783810889, 40.5765549125, 0, 0, 0, 0, 0
N2695, -80.0999067384, 40.5864970787, 0, 0, 2, 2, 3
N2696, -78.3170739293, 40.5865825772, 0, 0, 0, 4, 5
N2697, -79.8892840142, 40.5908295096, 0, 0, 0, 0, 14
N2698, -74.2344987131, 40.5937060739, 2, 2, 2, 2, 2
N2699, -75.3361887277, 40.5965231013, 0, 0, 0, 0, 0
N2700, -74.0350587277, 40.6094741031, 0, 0, 0, 0, 0
N2701, -73.9083282165, 40.5957399069, 0, 1, 1, 1, 1
N2702, -73.5485097168, 40.6105810733, 0, 0, 0, 0, 0
N2703, -73.5082077216, 40.5963250723, 0, 0, 0, 0, 0
N2704, -89.2446655684, 40.6133848051, 1, 2, 3, 4, 4
N2705, -111.437066993, 40.6188065299, 0, 0, 0, 0, 0
N2706, -76.4356109974, 40.6192040959, 2, 4, 7, 8, 10
N2707, -89.4842967372, 40.6206430948, 2, 5, 9, 14, 14
N2708, -87.3810418368, 40.6218378262, 0, 0, 0, 0, 0
N2709, -74.1738387334, 40.6222270761, 1, 1, 1, 1, 1
N2710, -80.5863567133, 40.6243511066, 0, 0, 0, 0, 0
N2711, -89.5183257192, 40.6330360907, 0, 0, 0, 0, 2
N2712, -111.905114748, 40.6347461057, 2, 2, 2, 2, 2
N2713, -74.0218467425, 40.6407670938, 0, 0, 1, 1, 1
N2714, -74.2058967162, 40.6410910728, 1, 1, 1, 1, 1
N2715, -73.2635157241, 40.6393990982, 0, 0, 0, 0, 0
N2716, -74.6453217105, 40.6424140718, 1, 2, 2, 3, 3
N2717, -74.2302777343, 40.6405421086, 0, 1, 1, 1, 1
N2718, -87.0154160288, 40.6452200384, 0, 0, 0, 0, 0
N2719, -76.1499772136, 40.6431831162, 1, 1, 1, 1, 1
N2720, -95.7457942747, 40.6478347956, 0, 0, 0, 0, 0
N2721, -74.4770743523, 40.6496806191, 1, 1, 1, 1, 1
N2722, -75.0171222349, 40.6494288215, 3, 8, 17, 29, 39
N2723, -73.5679407198, 40.6585960742, 0, 0, 0, 0, 0
N2724, -85.5007575771, 40.6592479874, 0, 0, 0, 0, 0
N2725, -80.0908225371, 40.6607931945, 0, 0, 0, 0, 0
N2726, -74.1810927261, 40.6660930926, 1, 1, 1, 1, 1
N2727, -73.8016977104, 40.6662730811, 0, 0, 0, 0, 0
N2728, -73.7908437413, 40.6448350827, 0, 0, 0, 0, 1
N2729, -80.5939167283, 40.6664621114, 1, 1, 1, 1, 1
N2730, -73.7400657092, 40.6664711101, 0, 0, 0, 0, 0
N2731, -73.5143727424, 40.6714120843, 0, 1, 1, 1, 1
N2732, -118.068118286, 40.6791870157, 2, 3, 3, 3, 3
N2733, -74.0037027404, 40.6797100937, 0, 0, 0, 1, 1
N2734, -74.1926667329, 40.6814831045, 0, 0, 1, 1, 1
N2735, -80.3341928451, 40.6833110539, 1, 2, 3, 3, 4
N2736, -73.7260797324, 40.6864780758, 1, 1, 1, 1, 1
N2737, -73.574960727, 40.6906900974, 1, 1, 1, 1, 1
N2738, -99.3869247109, 40.6899431034, 1, 2, 2, 2, 3
N2739, -98.9160266807, 40.6903318713, 1, 2, 3, 4, 5
N2740, -73.5193497147, 40.698601089, 0, 0, 0, 0, 0
N2741, -116.796983734, 40.6154375364, 1, 1, 2, 3, 3
N2742, -116.433240991, 40.6618766212, 0, 0, 0, 0, 0
N2743, -73.4903157455, 40.7012560855, 0, 0, 0, 1, 1
N2744, -74.2459377289, 40.7056300957, 0, 0, 0, 0, 0
N2745, -111.796727707, 40.7063500911, 0, 0, 0, 0, 1
N2746, -74.1516807395, 40.7065390791, 2, 2, 2, 2, 2
N2747, -74.0158527107, 40.7073401116, 1, 1, 1, 1, 1
N2748, -80.6858067444, 40.7081051037, 0, 0, 0, 1, 1
N2749, -74.1607347415, 40.7095450945, 0, 0, 0, 0, 1
N2750, -111.791363718, 40.7111830729, 0, 0, 0, 0, 0
N2751, -73.4822157236, 40.7113901014, 0, 0, 0, 1, 1
N2752, -74.3236167417, 40.7116960813, 0, 0, 0, 1, 1
N2753, -111.813665745, 40.714387075, 1, 2, 2, 3, 4
N2754, -73.8259617366, 40.7153051003, 0, 1, 1, 1, 1
N2755, -88.0278798246, 40.7159081227, 0, 0, 0, 0, 0
N2756, -88.7397963214, 40.7164631204, 0, 0, 9, 14, 18
N2757, -112.514846724, 40.7055760995, 1, 2, 2, 2, 2
N2758, -112.23623211, 40.7173577291, 1, 1, 3, 4, 6
N2759, -75.6241527378, 40.7174290885, 0, 0, 4, 6, 7
N2760, -111.903683714, 40.7178701016, 0, 0, 0, 0, 0
N2761, -74.3352087475, 40.7209480709, 0, 0, 0, 1, 1
